"regcode","provcode","provname","nscb_prov_code","nscb_prov_name","addedby","UserLevelID","dateupdated","status"
"01","0128","ILOCOS NORTE","0128","ILOCOS NORTE","ims","0","8/6/2009 00:00:00","A"
"01","0129","ILOCOS SUR","0129","ILOCOS SUR","ims","0","8/6/2009 00:00:00","A"
"01","0133","LA UNION","0133","LA UNION","ims","0","8/6/2009 00:00:00","A"
"01","0155","PANGASINAN","0155","PANGASINAN","ims","0","8/6/2009 00:00:00","A"
"02","0209","BATANES","0209","BATANES","ims","0","8/6/2009 00:00:00","A"
"02","0215","CAGAYAN","0215","CAGAYAN","ims","0","8/6/2009 00:00:00","A"
"02","0231","ISABELA","0231","ISABELA","ims","0","8/6/2009 00:00:00","A"
"02","0250","NUEVA VIZCAYA","0250","NUEVA VIZCAYA","ims","0","8/6/2009 00:00:00","A"
"02","0257","QUIRINO","0257","QUIRINO","ims","0","8/6/2009 00:00:00","A"
"03","0308","BATAAN","0308","BATAAN","ims","0","8/6/2009 00:00:00","A"
"03","0314","BULACAN","0314","BULACAN","ims","0","8/6/2009 00:00:00","A"
"03","0349","NUEVA ECIJA","0349","NUEVA ECIJA","ims","0","8/6/2009 00:00:00","A"
"03","0354","PAMPANGA","0354","PAMPANGA","ims","0","8/6/2009 00:00:00","A"
"03","0369","TARLAC","0369","TARLAC","ims","0","8/6/2009 00:00:00","A"
"03","0371","ZAMBALES","0371","ZAMBALES","ims","0","8/6/2009 00:00:00","A"
"03","0377","AURORA","0377","AURORA","ims","0","8/6/2009 00:00:00","A"
"04","0410","BATANGAS","0410","BATANGAS","ims","0","8/6/2009 00:00:00","A"
"04","0421","CAVITE","0421","CAVITE","ims","0","8/6/2009 00:00:00","A"
"04","0434","LAGUNA","0434","LAGUNA","ims","0","8/6/2009 00:00:00","A"
"04","0456","QUEZON","0456","QUEZON","ims","0","8/6/2009 00:00:00","A"
"04","0458","RIZAL","0458","RIZAL","ims","0","8/6/2009 00:00:00","A"
"05","0505","ALBAY","0505","ALBAY","ims","0","8/6/2009 00:00:00","A"
"05","0516","CAMARINES NORTE","0516","CAMARINES NORTE","ims","0","8/6/2009 00:00:00","A"
"05","0517","CAMARINES SUR","0517","CAMARINES SUR","ims","0","8/6/2009 00:00:00","A"
"05","0520","CATANDUANES","0520","CATANDUANES","ims","0","8/6/2009 00:00:00","A"
"05","0541","MASBATE","0541","MASBATE","ims","0","8/6/2009 00:00:00","A"
"05","0562","SORSOGON","0562","SORSOGON","ims","0","8/6/2009 00:00:00","A"
"06","0604","AKLAN","0604","AKLAN","ims","0","8/6/2009 00:00:00","A"
"06","0606","ANTIQUE","0606","ANTIQUE","ims","0","8/6/2009 00:00:00","A"
"06","0619","CAPIZ","0619","CAPIZ","ims","0","8/6/2009 00:00:00","A"
"06","0630","ILOILO","0630","ILOILO","ims","0","8/6/2009 00:00:00","A"
"06","0645","NEGROS OCCIDENTAL","0645","NEGROS OCCIDENTAL","ims","0","8/6/2009 00:00:00","A"
"06","0679","GUIMARAS","0679","GUIMARAS","ims","0","8/6/2009 00:00:00","A"
"07","0712","BOHOL","0712","BOHOL","ims","0","8/6/2009 00:00:00","A"
"07","0722","CEBU","0722","CEBU","ims","0","8/6/2009 00:00:00","A"
"07","0746","NEGROS ORIENTAL","0746","NEGROS ORIENTAL","ims","0","8/6/2009 00:00:00","A"
"07","0761","SIQUIJOR","0761","SIQUIJOR","ims","0","8/6/2009 00:00:00","A"
"08","0826","EASTERN SAMAR","0826","EASTERN SAMAR","ims","0","8/6/2009 00:00:00","A"
"08","0837","LEYTE","0837","LEYTE","ims","0","8/6/2009 00:00:00","A"
"08","0848","NORTHERN SAMAR","0848","NORTHERN SAMAR","ims","0","8/6/2009 00:00:00","A"
"08","0860","WESTERN SAMAR","0860","SAMAR","ims","0","8/6/2009 00:00:00","A"
"08","0864","SOUTHERN LEYTE","0864","SOUTHERN LEYTE","ims","0","8/6/2009 00:00:00","A"
"08","0878","BILIRAN","0878","BILIRAN","ims","0","8/6/2009 00:00:00","A"
"09","0972","ZAMBOANGA DEL NORTE","0972","ZAMBOANGA DEL NORTE","ims","0","8/6/2009 00:00:00","A"
"09","0973","ZAMBOANGA DEL SUR","0973","ZAMBOANGA DEL SUR","ims","0","8/6/2009 00:00:00","A"
"09","0983","ZAMBOANGA SIBUGAY","0983","ZAMBOANGA SIBUGAY","ims","0","8/6/2009 00:00:00","A"
"09","0997","CITY OF ISABELA","0997","CITY OF ISABELA","ims","0","8/6/2009 00:00:00","A"
"10","1013","BUKIDNON","1013","BUKIDNON","ims","0","8/6/2009 00:00:00","A"
"10","1018","CAMIGUIN","1018","CAMIGUIN","ims","0","8/6/2009 00:00:00","A"
"10","1035","LANAO DEL NORTE","1035","LANAO DEL NORTE","ims","0","8/6/2009 00:00:00","A"
"10","1042","MISAMIS OCCIDENTAL","1042","MISAMIS OCCIDENTAL","ims","0","8/6/2009 00:00:00","A"
"10","1043","MISAMIS ORIENTAL","1043","MISAMIS ORIENTAL","ims","0","8/6/2009 00:00:00","A"
"11","1123","DAVAO DEL NORTE","1123","DAVAO DEL NORTE","ims","0","8/6/2009 00:00:00","A"
"11","1124","DAVAO DEL SUR","1124","DAVAO DEL SUR","ims","0","8/6/2009 00:00:00","A"
"11","1125","DAVAO ORIENTAL","1125","DAVAO ORIENTAL","ims","0","8/6/2009 00:00:00","A"
"11","1182","DAVAO DE ORO","1182","DAVAO DE ORO","ims","0","8/6/2009 00:00:00","A"
"11","1186","DAVAO OCCIDENTAL","1186","DAVAO OCCIDENTAL","ims","0","31/1/2018 00:00:00","A"
"12","1247","COTABATO","1247","COTABATO","ims","0","8/6/2009 00:00:00","A"
"12","1263","SOUTH COTABATO","1263","SOUTH COTABATO","ims","0","8/6/2009 00:00:00","A"
"12","1265","SULTAN KUDARAT","1265","SULTAN KUDARAT","ims","0","8/6/2009 00:00:00","A"
"12","1280","SARANGANI","1280","SARANGANI","ims","0","8/6/2009 00:00:00","A"
"12","1298","CITY OF COTABATO","1298","CITY OF COTABATO","ims","0","8/6/2009 00:00:00","A"
"13","1339","MANILA, NCR,  FIRST DISTRICT","1339","MANILA, NCR,  FIRST DISTRICT","ims","0","8/6/2009 00:00:00","A"
"13","1374","NCR   SECOND DISTRICT","1374","NCR   SECOND DISTRICT","ims","0","8/6/2009 00:00:00","A"
"13","1375","NCR   THIRD DISTRICT","1375","NCR   THIRD DISTRICT","ims","0","8/6/2009 00:00:00","A"
"13","1376","NCR   FOURTH DISTRICT","1376","NCR   FOURTH DISTRICT","ims","0","8/6/2009 00:00:00","A"
"14","1401","ABRA","1401","ABRA","ims","0","8/6/2009 00:00:00","A"
"14","1411","BENGUET","1411","BENGUET","ims","0","8/6/2009 00:00:00","A"
"14","1427","IFUGAO","1427","IFUGAO","ims","0","8/6/2009 00:00:00","A"
"14","1432","KALINGA","1432","KALINGA","ims","0","8/6/2009 00:00:00","A"
"14","1444","MOUNTAIN PROVINCE","1444","MOUNTAIN PROVINCE","ims","0","8/6/2009 00:00:00","A"
"14","1481","APAYAO","1481","APAYAO","ims","0","8/6/2009 00:00:00","A"
"15","1507","BASILAN","1507","BASILAN","ims","0","8/6/2009 00:00:00","A"
"15","1536","LANAO DEL SUR","1536","LANAO DEL SUR","ims","0","8/6/2009 00:00:00","A"
"15","1538","MAGUINDANAO","1538","MAGUINDANAO","ims","0","8/6/2009 00:00:00","A"
"15","1566","SULU","1566","SULU","ims","0","8/6/2009 00:00:00","A"
"15","1570","TAWI-TAWI","1570","TAWI-TAWI","ims","0","8/6/2009 00:00:00","A"
"15","1584","SHARIFF KABUNSUAN","1584","SHARIFF KABUNSUAN","ims","0","8/6/2009 00:00:00","A"
"16","1602","AGUSAN DEL NORTE","1602","AGUSAN DEL NORTE","ims","0","8/6/2009 00:00:00","A"
"16","1603","AGUSAN DEL SUR","1603","AGUSAN DEL SUR","ims","0","8/6/2009 00:00:00","A"
"16","1667","SURIGAO DEL NORTE","1667","SURIGAO DEL NORTE","ims","0","8/6/2009 00:00:00","A"
"16","1668","SURIGAO DEL SUR","1668","SURIGAO DEL SUR","ims","0","8/6/2009 00:00:00","A"
"16","1685","DINAGAT ISLANDS","1685","DINAGAT ISLANDS","ims","0","8/6/2009 00:00:00","A"
"17","1740","MARINDUQUE","1740","MARINDUQUE","ims","0","8/6/2009 00:00:00","A"
"17","1751","OCCIDENTAL MINDORO","1751","OCCIDENTAL MINDORO","ims","0","8/6/2009 00:00:00","A"
"17","1752","ORIENTAL MINDORO","1752","ORIENTAL MINDORO","ims","0","8/6/2009 00:00:00","A"
"17","1753","PALAWAN","1753","PALAWAN","ims","0","8/6/2009 00:00:00","A"
"17","1759","ROMBLON","1759","ROMBLON","ims","0","8/6/2009 00:00:00","A"
